name,producer,type,country,region,vintage,bottles,status,storage,duty_status,drink_window,roi_pct,case_value_gbp,description
"Cervaro della Sala, Antinori",Antinori,Still White,Italy,Umbria,2019,12,In Stock,NEXUS (LCB Dinton),In Bond,,32.57,349.98,"Cervaro della Sala, Antinori 2019 is a still white from Antinori in Umbria, Italy. ABV 13.00%. Holding 12 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £264 per case. Current case value £349.98, ROI 32.57%."
"Cervaro della Sala, Antinori",Antinori,Still White,Italy,Umbria,2019,6,In Stock,NEXUS (LCB Dinton),In Bond,,32.57,349.98,"Cervaro della Sala, Antinori 2019 is a still white from Antinori in Umbria, Italy. ABV 13.00%. Holding 6 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £264 per case. Current case value £349.98, ROI 32.57%."
"Cervaro della Sala, Antinori",Antinori,Still White,Italy,Umbria,2021,12,In Stock,NEXUS (LCB Dinton),In Bond,,60.98,424.98,"Cervaro della Sala, Antinori 2021 is a still white from Antinori in Umbria, Italy. ABV 12.50%. Holding 12 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £264 per case. Current case value £424.98, ROI 60.98%."
"Cervaro della Sala, Antinori",Antinori,Still White,Italy,Umbria,2023,12,Due In,NEXUS (LCB Dinton),In Bond,,13.29,285.48,"Cervaro della Sala, Antinori 2023 is a still white from Antinori in Umbria, Italy. ABV 13.00%. Holding 12 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £252 per case. Current case value £285.48, ROI 13.29%."
"Tignanello, Toscana, Antinori",Antinori,Still Red,Italy,Toscana,2015,6,In Stock,NEXUS (LCB Dinton),Duty Paid,,20.00,720.00,"Tignanello, Toscana, Antinori 2015 is a still red from Antinori in Toscana, Italy. ABV 14.00%. Holding 6 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), Duty Paid. Bought from Sterling Fine Wines at £600 per case. Current case value £720.00, ROI 20.00%."
"Tignanello, Toscana, Antinori",Antinori,Still Red,Italy,Toscana,2016,1,In Stock,NEXUS (LCB Dinton),In Bond,,104.72,272.17,"Tignanello, Toscana, Antinori 2016 is a still red from Antinori in Toscana, Italy. ABV 14.00%. Holding 1 bottle (150cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sterling Fine Wines at £132.95 per case. Current case value £272.17, ROI 104.72%."
"Tignanello, Toscana, Antinori",Antinori,Still Red,Italy,Toscana,2021,30,Delivered,NEXUS (LCB Dinton),In Bond,,17.89,580.02,"Tignanello, Toscana, Antinori 2021 is a still red from Antinori in Toscana, Italy. ABV 14.50%. Holding 30 bottles (75cl) in stock. Current status: Delivered. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £492 per case. Current case value £580.02, ROI 17.89%."
"Tignanello, Toscana, Antinori",Antinori,Still Red,Italy,Toscana,2021,210,In Stock,NEXUS (LCB Dinton),In Bond,,17.89,580.02,"Tignanello, Toscana, Antinori 2021 is a still red from Antinori in Toscana, Italy. ABV 14.50%. Holding 210 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £492 per case. Current case value £580.02, ROI 17.89%."
"Tignanello, Toscana, Antinori",Antinori,Still Red,Italy,Toscana,2021,12,In Stock,NEXUS (LCB Dinton),In Bond,,21.49,222.33,"Tignanello, Toscana, Antinori 2021 is a still red from Antinori in Toscana, Italy. ABV 14.50%. Holding 12 bottles (150cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £183 per case. Current case value £222.33, ROI 21.49%."
"Tignanello, Toscana, Antinori",Antinori,Still Red,Italy,Toscana,2023,30,Delivered,NEXUS (LCB Dinton),In Bond,,19.20,565.02,"Tignanello, Toscana, Antinori 2023 is a still red from Antinori in Toscana, Italy. ABV 14.50%. Holding 30 bottles (75cl) in stock. Current status: Delivered. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £474 per case. Current case value £565.02, ROI 19.20%."
